gene_id	Neu3h_R1
ENSG00000008441.13	2.798922213
ENSG00000008513.11	3.752551102
ENSG00000008516.13	0.383882287
ENSG00000008517.13	0.137207691
ENSG00000008710.14	9.581962263
ENSG00000008838.14	23.19954381
ENSG00000008853.13	1.187089266
ENSG00000008869.8	2.74966783
ENSG00000008952.13	41.96323013
ENSG00000008988.6	1089.577704
ENSG00000009307.12	67.13616396
ENSG00000009335.14	6.698248863
ENSG00000009413.12	1.749578956
ENSG00000009780.12	1.965986227
ENSG00000009790.11	3.601748344
ENSG00000009830.8	4.754024688
ENSG00000009844.12	6.279964619
ENSG00000009950.12	0.620071774
ENSG00000009954.7	15.91707295
ENSG00000010017.10	10.54247382
ENSG00000010072.12	2.353766701
ENSG00000010165.16	4.086078846
ENSG00000010219.10	11.93104376
ENSG00000010244.13	49.68080622
ENSG00000010256.7	41.42333925
ENSG00000010270.10	3.135439321
ENSG00000010278.8	1.286426347
ENSG00000010292.9	19.82299699
ENSG00000010295.16	1.993199167
ENSG00000010310.5	0.132224011
ENSG00000010318.16	2.639968574
ENSG00000010319.3	0.172007964
ENSG00000010322.12	9.815319898
ENSG00000010361.10	4.424761578
ENSG00000010379.12	1.767956886
ENSG00000010404.14	2.519056048
ENSG00000010539.8	2.817310285
ENSG00000010610.6	21.60423836
ENSG00000010626.11	2.009050883
ENSG00000010671.12	12.33700275
ENSG00000010803.13	18.00352401
ENSG00000010810.14	2.28704712
ENSG00000010818.5	1.113485863
ENSG00000010932.12	0.016961038
ENSG00000011007.9	4.566782898
ENSG00000011009.7	4.145054612
ENSG00000011021.18	1.255386607
ENSG00000011028.10	3.173958331
ENSG00000011105.8	0.016818846
ENSG00000011132.8	3.114819621
ENSG00000011143.13	3.42964423
ENSG00000011198.4	1.711248129
ENSG00000011243.14	32.84914614
ENSG00000011258.12	2.791496252
ENSG00000011260.10	1.19671325
ENSG00000011275.15	9.462943042
ENSG00000011295.12	2.689056354
ENSG00000011304.13	52.59329561
ENSG00000011347.6	0.035187907
ENSG00000011376.6	1.631913997
ENSG00000011405.10	2.875562725
ENSG00000011422.8	16.43651376
ENSG00000011426.7	10.74593308
ENSG00000011451.14	6.279465371
ENSG00000011454.13	3.211774081
ENSG00000011465.13	0.019379881
ENSG00000011478.8	4.024321937
ENSG00000011485.11	12.14043739
ENSG00000011523.10	0.728629472
ENSG00000011566.11	1.758638028
ENSG00000011600.8	282.9894633
ENSG00000011638.7	1.195485065
ENSG00000012048.16	15.57961938
ENSG00000012061.12	60.53175717
ENSG00000012124.11	0.080484563
ENSG00000012174.8	0.515561398
ENSG00000012211.9	0.422856867
ENSG00000012223.9	0.448474786
ENSG00000012232.5	1.201792916
ENSG00000012660.10	15.03385432
ENSG00000012817.12	0.099487946
ENSG00000012822.12	9.764552579
ENSG00000012983.8	4.021140453
ENSG00000013275.4	8.816234358
ENSG00000013288.5	3.608627779
ENSG00000013306.12	47.17511042
ENSG00000013364.15	7.762851968
ENSG00000013374.12	6.487086648
ENSG00000013375.12	2.944976424
ENSG00000013441.12	19.51330065
ENSG00000013503.6	0.979778261
ENSG00000013523.6	1.464997131
ENSG00000013561.14	2.647177608
ENSG00000013563.10	3.11595547
ENSG00000013573.13	3.248686006
ENSG00000013583.5	7.415354713
ENSG00000013588.5	0.150846895
ENSG00000013619.10	0.031428016
ENSG00000013725.11	0.05257286
ENSG00000013810.15	30.31626837
ENSG00000014123.9	1.812404719
ENSG00000014138.5	6.052818972
ENSG00000014164.6	2.579820315
ENSG00000014216.12	18.14441618
ENSG00000014257.12	3.146194171
ENSG00000014641.14	13.529549
ENSG00000014824.10	5.957930818
ENSG00000014914.16	0.640708978
ENSG00000014919.9	4.957639464
ENSG00000015133.15	16.94090062
ENSG00000015153.11	4.430515974
ENSG00000015171.15	2.012631102
ENSG00000015285.7	16.73538442
ENSG00000015475.15	10.41729401
ENSG00000015479.14	22.28496905
ENSG00000015532.6	2.424194432
ENSG00000015676.14	5.803192514
ENSG00000016864.13	5.453971537
ENSG00000017260.16	6.830653935
ENSG00000017483.11	38.174554
ENSG00000017797.8	13.5955515
ENSG00000018189.9	0.46102289
ENSG00000018280.13	0.282977846
ENSG00000018408.11	0.493348894
ENSG00000018510.9	2.107283869
ENSG00000018610.10	11.12947577
ENSG00000018625.11	0.151403072
ENSG00000018699.8	3.319734943
ENSG00000018869.13	0.359709421
ENSG00000019144.13	0.006960807
ENSG00000019186.6	0.226078919
ENSG00000019505.4	0.071047387
ENSG00000019582.11	89.63214564
ENSG00000019991.12	2.193157393
ENSG00000019995.6	6.08553742
ENSG00000020129.12	1.715940187
ENSG00000020256.16	1.983585077
ENSG00000020426.7	4.198191288
ENSG00000020633.15	17.24976778
ENSG00000020922.9	4.09053043
ENSG00000021355.9	24.27367396
ENSG00000021574.8	1.07281915
ENSG00000021762.16	9.841115345
ENSG00000021776.7	8.596428606
ENSG00000021826.11	0.892148945
ENSG00000022267.13	0.137186689
ENSG00000022277.9	15.49504079
ENSG00000022567.6	2.754119382
ENSG00000022840.12	37.11967831
ENSG00000022976.12	1.115173408
ENSG00000023041.8	8.628633625
ENSG00000023171.11	1.298410252
ENSG00000023228.10	8.326245007
ENSG00000023287.9	4.058888195
ENSG00000023318.7	9.580825862
ENSG00000023330.11	18.52632185
ENSG00000023445.10	0.392331918
ENSG00000023516.8	2.17169749
ENSG00000023572.5	3.851859479
ENSG00000023697.9	2.432754388
ENSG00000023734.7	18.5146699
ENSG00000023892.10	4.188752705
ENSG00000023902.10	2.241484705
ENSG00000023909.6	1.00480743
ENSG00000024048.7	1.212510869
ENSG00000024526.13	1.257008244
ENSG00000024862.13	3.025191201
ENSG00000025039.11	5.041964027
ENSG00000025156.9	1.066250218
ENSG00000025293.12	11.12653555
ENSG00000025423.8	0.38668892
ENSG00000025434.15	2.750552458
ENSG00000025708.9	0.741670013
ENSG00000025770.15	4.02913671
ENSG00000025772.7	4.018516661
ENSG00000025796.10	38.55858379
ENSG00000025800.10	1.953216339
ENSG00000026025.10	16.62318558
ENSG00000026036.17	0.021772111
ENSG00000026103.16	0.147208241
ENSG00000026297.12	28.64137456
ENSG00000026508.13	21.0838764
ENSG00000026652.10	0.050073228
ENSG00000026751.13	0.173383436
ENSG00000026950.13	1.337592339
ENSG00000027001.7	1.43577651
ENSG00000027075.10	0.041404267
ENSG00000027697.9	3.504096931
ENSG00000027847.10	4.363648827
ENSG00000027869.8	0.140521252
ENSG00000028116.13	1.578399628
ENSG00000028137.13	4.644807562
ENSG00000028203.14	6.894149639
ENSG00000028277.17	1.308316164
ENSG00000028310.14	9.264129361
ENSG00000028528.11	16.84873219
ENSG00000028839.6	2.403937538
ENSG00000029153.11	0.247432653
ENSG00000029363.12	15.0959331
ENSG00000029364.8	2.942418199
ENSG00000029639.7	4.158522004
ENSG00000029725.13	7.291724342
ENSG00000029993.11	3.725119554
ENSG00000030066.10	6.728702711
ENSG00000030110.9	2.539353646
ENSG00000030582.13	98.77935528
ENSG00000031003.7	2.906969222
ENSG00000031081.7	0.015934117
ENSG00000031691.6	1.28290265
ENSG00000031698.9	6.084119237
ENSG00000031823.11	15.39423675
ENSG00000032219.15	9.089824793
ENSG00000032389.9	5.139882103
ENSG00000032444.12	8.989606801
ENSG00000032742.14	0.882354486
ENSG00000033011.8	2.725714388
ENSG00000033030.10	6.822087981
ENSG00000033050.4	6.435488435
ENSG00000033100.11	1.526464941
ENSG00000033170.13	0.477816737
ENSG00000033178.9	6.200474023
ENSG00000033327.9	5.291565154
ENSG00000033627.11	11.02403304
ENSG00000033800.10	29.4669552
ENSG00000033867.13	7.768112659
ENSG00000034152.15	3.222931897
ENSG00000034510.5	135.5755868
ENSG00000034533.8	0.38363417
ENSG00000034677.8	4.671037767
ENSG00000034693.11	3.994031687
ENSG00000034713.4	5.296801109
ENSG00000035115.18	3.600676572
ENSG00000035141.4	13.07769018
ENSG00000035403.13	4.397458808
ENSG00000035499.9	1.165896836
ENSG00000035664.8	0.044276897
ENSG00000035681.4	13.59066527
ENSG00000035687.9	4.387608611
ENSG00000035720.4	0.328509737
ENSG00000035862.9	6.423225992
ENSG00000035928.11	56.62550323
ENSG00000036054.9	3.520709163
ENSG00000036257.9	17.55032783
ENSG00000036549.9	5.665476537
ENSG00000036672.12	0.382356516
ENSG00000037042.8	0.183559421
ENSG00000037241.4	10.69173801
ENSG00000037474.11	10.25171713
ENSG00000037637.7	3.311227702
ENSG00000037749.8	1.410917965
ENSG00000037757.10	5.101978081
ENSG00000037897.13	3.572274719
ENSG00000038002.5	5.522779041
ENSG00000038210.10	10.35206468
ENSG00000038219.9	11.65302528
ENSG00000038274.13	9.084893637
ENSG00000038358.11	15.6505096
ENSG00000038382.14	3.987631535
ENSG00000038427.12	0.272072732
ENSG00000038532.11	5.890020327
ENSG00000038945.11	0.132095682
ENSG00000039068.15	0.557176288
ENSG00000039123.12	5.375157621
ENSG00000039319.13	0.06642783
ENSG00000039523.14	1.693455815
ENSG00000039560.10	0.031336172
ENSG00000039650.6	3.629981648
ENSG00000040199.15	0.395667556
ENSG00000040275.13	6.47819062
ENSG00000040341.14	15.798172
ENSG00000040487.9	0.570778807
ENSG00000040531.11	0.529192417
ENSG00000040608.10	0.121769597
ENSG00000040633.9	2.904221635
ENSG00000040933.12	2.583607428
ENSG00000041357.12	37.14589536
ENSG00000041802.7	9.475387307
ENSG00000041880.11	0.325411455
ENSG00000041982.11	0.184971473
ENSG00000041988.12	1.967169107
ENSG00000042088.10	3.691153702
ENSG00000042317.13	1.152724876
ENSG00000042429.7	7.613833913
ENSG00000042445.10	3.570716531
ENSG00000042493.12	27.91184485
ENSG00000042753.8	16.65663639
ENSG00000042980.9	0.72463074
ENSG00000043093.10	3.279944237
ENSG00000043143.17	0.822617471
ENSG00000043355.7	0.058019936
ENSG00000043462.8	11.67144561
ENSG00000043514.12	3.192078039
ENSG00000044090.5	2.019995532
ENSG00000044115.17	0.149485829
ENSG00000044446.8	5.186487684
ENSG00000044459.11	1.246566016
ENSG00000044574.7	22.28969744
ENSG00000046647.10	1.54954942
ENSG00000046651.11	2.930653115
ENSG00000046653.11	0.119189479
ENSG00000047056.11	2.882225375
ENSG00000047188.12	1.841132896
ENSG00000047230.11	2.785301965
ENSG00000047249.13	5.836459471
ENSG00000047315.11	14.10503883
ENSG00000047346.9	2.203523746
ENSG00000047365.8	0.655473304
ENSG00000047410.10	28.57562292
ENSG00000047457.10	0.030510289
ENSG00000047578.9	1.851561106
ENSG00000047579.16	2.132931503
ENSG00000047621.8	2.275835032
ENSG00000047849.18	11.3413001
ENSG00000047932.10	3.805800589
ENSG00000048028.8	3.3032255
ENSG00000048052.18	0.543073783
ENSG00000048140.14	0.57850289
ENSG00000048162.16	15.23444824
ENSG00000048392.8	1.829835095
ENSG00000048405.6	13.03675937
ENSG00000048471.10	0.889874725
ENSG00000048544.5	6.266048605
ENSG00000048649.10	45.32095315
ENSG00000048707.10	4.035270127
ENSG00000048740.14	5.502128855
ENSG00000048828.13	7.652679844
ENSG00000048991.13	21.85982295
ENSG00000049089.10	1.762242169
ENSG00000049130.10	0.180395302
ENSG00000049167.10	0.85717889
ENSG00000049192.11	0.022253806
ENSG00000049239.9	1.941344088
ENSG00000049245.9	5.349571812
ENSG00000049249.5	0.170765688
ENSG00000049283.14	0.008792261
ENSG00000049323.12	0.165763409
ENSG00000049449.5	1.347541242
ENSG00000049541.7	17.27794737
ENSG00000049618.18	7.6969863
ENSG00000049656.10	5.410712702
ENSG00000049759.13	0.273765122
ENSG00000049769.9	0.192848704
ENSG00000049860.10	3.624876606
ENSG00000050030.10	0.103201076
ENSG00000050130.14	3.552249176
ENSG00000050344.8	0.365684713
ENSG00000050393.8	4.976310461
ENSG00000050405.10	3.998094729
ENSG00000050426.12	15.84881266
ENSG00000050438.13	1.084552564
ENSG00000050730.12	0.130481393
ENSG00000050748.14	4.08138609
ENSG00000050767.12	13.69834234
ENSG00000050820.13	0.084540755
ENSG00000051009.7	5.713409763
ENSG00000051108.11	8.597591721
ENSG00000051128.15	12.7482534
ENSG00000051180.13	4.925397173
ENSG00000051341.10	5.225089886
ENSG00000051382.5	5.940768278
ENSG00000051523.7	40.29772955
ENSG00000051596.6	1.738275411
ENSG00000051620.7	3.749579257
ENSG00000051825.11	14.10022815
ENSG00000052126.11	0.040426345
ENSG00000052723.8	5.2281551
ENSG00000052749.10	12.49468415
ENSG00000052795.9	1.046296154
ENSG00000052802.9	3.042639885
ENSG00000052841.11	24.57746016
ENSG00000053254.12	6.121281642
ENSG00000053371.9	4.904535711
ENSG00000053372.4	6.990353067
ENSG00000053501.9	2.503745128
ENSG00000053770.8	5.710911647
ENSG00000053900.7	2.916965546
ENSG00000053918.12	0.147985939
ENSG00000054116.8	11.66032184
ENSG00000054118.10	18.12785308
ENSG00000054148.14	13.19455294
ENSG00000054179.8	0.022023294
ENSG00000054219.10	0.676796649
ENSG00000054267.17	8.234348357
ENSG00000054277.9	1.743618875
ENSG00000054356.10	0.067806307
ENSG00000054523.13	1.318883519
ENSG00000054598.6	0.022454745
ENSG00000054611.10	7.840256467
ENSG00000054654.12	0.372925606
ENSG00000054690.10	0.102792484
ENSG00000054793.10	0.088227123
ENSG00000054965.7	2.110546331
ENSG00000054967.9	3.432241232
ENSG00000054983.13	1.083054177
ENSG00000055044.7	19.1425218
ENSG00000055070.13	24.5460217
ENSG00000055130.12	2.972945729
ENSG00000055147.14	5.081753404
ENSG00000055163.15	2.659419148
ENSG00000055208.14	9.234530753
ENSG00000055211.9	2.044071383
ENSG00000055332.13	3.149130045
ENSG00000055483.16	16.53733063
ENSG00000055609.14	20.81052036
ENSG00000055917.12	9.639808358
ENSG00000055950.13	10.90273262
ENSG00000055955.12	2.537171289
ENSG00000056050.6	3.638139581
ENSG00000056097.12	13.03534619
ENSG00000056277.12	3.41895986
ENSG00000056558.7	0.177710231
ENSG00000056586.12	6.008373326
ENSG00000056972.15	1.521461101
ENSG00000057019.12	2.595550003
ENSG00000057252.9	0.25590059
ENSG00000057294.10	0.10719383
ENSG00000057608.13	19.83268546
ENSG00000057657.11	0.040321187
ENSG00000057663.9	4.114711933
ENSG00000057704.7	0.046637378
ENSG00000057757.6	13.98637807
ENSG00000057935.10	1.041557174
ENSG00000058056.5	1.392926527
ENSG00000058063.12	3.95314502
ENSG00000058091.13	3.113308704
ENSG00000058262.6	19.79204567
ENSG00000058272.12	40.30864958
ENSG00000058335.12	0.071236009
ENSG00000058404.16	0.052437976
ENSG00000058453.13	0.195639537
ENSG00000058600.12	6.202794752
ENSG00000058668.11	7.383212131
ENSG00000058673.12	4.322621104
ENSG00000058729.7	5.140400038
ENSG00000058799.10	2.724154689
ENSG00000058804.11	4.352215695
ENSG00000058866.11	3.692945353
ENSG00000059122.13	4.886462081
ENSG00000059145.15	4.410852178
ENSG00000059377.12	2.750515953
ENSG00000059378.9	1.238584722
ENSG00000059573.5	8.447924246
ENSG00000059588.6	7.316577288
ENSG00000059691.8	3.42975638
ENSG00000059728.7	6.527923543
ENSG00000059758.4	2.796263052
ENSG00000059769.16	1.312229463
ENSG00000059804.12	1.585758764
ENSG00000059915.13	0.352546518
ENSG00000060069.13	14.02534232
ENSG00000060138.9	61.81734321
ENSG00000060237.13	19.21361241
ENSG00000060303.5	0.587700117
ENSG00000060339.10	27.36802237
ENSG00000060491.13	2.89316743
ENSG00000060558.3	4.416265925
ENSG00000060642.7	0.978680039
ENSG00000060688.9	14.72575162
ENSG00000060749.11	9.129094355
ENSG00000060762.15	30.71531274
ENSG00000060971.14	7.826008847
ENSG00000060982.11	5.899814281
ENSG00000061273.14	2.605533202
ENSG00000061656.6	0.383494228
ENSG00000061676.11	0.176353527
ENSG00000061794.9	4.593033991
ENSG00000061936.6	40.99121896
ENSG00000061938.13	10.55870109
ENSG00000061987.11	3.889306001
ENSG00000062038.10	0.824806434
ENSG00000062194.12	5.112436381
ENSG00000062282.11	0.351825937
ENSG00000062485.15	27.28599198
ENSG00000062582.10	46.99245016
ENSG00000062598.14	5.232469262
ENSG00000062650.14	6.274362041
ENSG00000062716.7	12.56996259
ENSG00000062725.6	1.539524557
ENSG00000062822.9	26.78828231
ENSG00000063046.14	34.51632179
ENSG00000063169.7	1.675576748
ENSG00000063176.12	2.103596189
ENSG00000063177.9	398.1068051
ENSG00000063180.5	1.047414934
ENSG00000063241.4	11.64283744
ENSG00000063244.9	31.19768219
ENSG00000063245.11	11.68979306
ENSG00000063322.10	4.543021916
ENSG00000063438.13	3.283879866
ENSG00000063587.13	1.757552948
ENSG00000063601.13	1.333895079
ENSG00000063660.5	0.055528251
ENSG00000063761.12	1.083121169
ENSG00000063854.9	3.009072693
ENSG00000063978.12	15.87273806
ENSG00000064012.18	9.388447029
ENSG00000064102.11	14.5155948
ENSG00000064115.7	10.2380321
ENSG00000064195.7	0.002627941
ENSG00000064199.3	2.114521426
ENSG00000064201.12	5.250403006
ENSG00000064225.9	2.739303354
ENSG00000064300.5	0.049062089
ENSG00000064313.8	14.10923441
ENSG00000064393.12	5.929063981
ENSG00000064419.10	13.71067921
ENSG00000064489.18	2.652850293
ENSG00000064490.10	9.633141515
ENSG00000064545.11	6.115772159
ENSG00000064547.10	15.31508398
ENSG00000064601.13	37.95244874
ENSG00000064607.13	26.36570988
ENSG00000064651.10	0.124055637
ENSG00000064655.15	0.573941113
ENSG00000064666.11	48.90559484
ENSG00000064687.9	1.100390492
ENSG00000064703.8	1.511281999
ENSG00000064726.6	5.591922969
ENSG00000064763.7	3.76846734
ENSG00000064933.13	6.71673534
ENSG00000064961.15	20.36664931
ENSG00000064995.13	8.403723046
ENSG00000064999.13	2.659868213
ENSG00000065000.12	13.02800267
ENSG00000065029.11	3.754774695
ENSG00000065054.10	0.030556787
ENSG00000065057.4	1.88587254
ENSG00000065060.13	1.443860875
ENSG00000065135.8	1.715198114
ENSG00000065150.15	11.68083603
ENSG00000065154.8	3.312522929
ENSG00000065183.12	3.91686827
ENSG00000065243.15	5.221233704
ENSG00000065268.7	11.71534331
ENSG00000065308.4	1.331036784
ENSG00000065320.5	5.68E-06
ENSG00000065328.13	3.936192041
ENSG00000065357.16	1.093635685
ENSG00000065361.11	0.872566328
ENSG00000065413.13	6.418493291
ENSG00000065427.11	60.7764782
ENSG00000065457.7	5.254932523
ENSG00000065485.14	3.965766414
ENSG00000065491.8	1.745868408
ENSG00000065518.7	113.6588221
ENSG00000065526.7	14.17090952
ENSG00000065534.15	0.021950038
ENSG00000065548.14	29.66938036
ENSG00000065559.11	1.026871639
ENSG00000065600.9	2.54803123
ENSG00000065609.11	0.036029909
ENSG00000065613.10	2.492244468
ENSG00000065615.10	0.956037642
ENSG00000065618.13	7.795091346
ENSG00000065665.17	0.602952531
ENSG00000065802.8	4.369980762
ENSG00000065809.10	15.65260301
ENSG00000065833.8	0.194758557
ENSG00000065882.12	11.01350451
ENSG00000065883.11	10.38878451
ENSG00000065911.8	17.27003685
ENSG00000065923.6	0.719269782
ENSG00000065970.5	2.639797902
ENSG00000065978.14	164.4943343
ENSG00000065989.12	0.352690188
ENSG00000066027.8	3.014777644
ENSG00000066044.10	8.58039624
ENSG00000066056.10	0.198173337
ENSG00000066084.9	1.617255635
ENSG00000066117.11	10.58733934
ENSG00000066135.9	4.927613263
ENSG00000066136.16	14.73039019
ENSG00000066185.9	0.519804526
ENSG00000066230.7	0.027833747
ENSG00000066279.13	3.600413724
ENSG00000066294.11	1.673356186
ENSG00000066322.9	10.99637257
ENSG00000066336.8	65.66303259
ENSG00000066382.13	0.11866542
ENSG00000066422.4	2.084116012
ENSG00000066427.18	5.812185602
ENSG00000066455.9	4.602773306
ENSG00000066557.5	1.609645735
ENSG00000066583.8	0.577835097
ENSG00000066651.14	1.642989694
ENSG00000066654.9	4.462468324
ENSG00000066697.11	0.462199848
ENSG00000066739.8	2.052785835
ENSG00000066777.5	6.199827892
ENSG00000066827.12	2.357342442
ENSG00000066855.12	2.861816816
ENSG00000066926.7	2.103165007
ENSG00000066933.12	4.712994648
ENSG00000067048.13	0.856635494
ENSG00000067057.13	4.510207262
ENSG00000067064.7	5.418328191
ENSG00000067066.13	6.698954293
ENSG00000067082.11	2.248033444
ENSG00000067113.13	0.583913033
ENSG00000067141.13	0.501458572
ENSG00000067167.4	16.63352911
ENSG00000067182.4	23.25000093
ENSG00000067191.12	0.029743591
ENSG00000067208.11	1.869058947
ENSG00000067221.10	0.322503101
ENSG00000067225.14	392.4623798
ENSG00000067248.6	1.689554001
ENSG00000067334.10	10.79977743
ENSG00000067365.11	11.59147163
ENSG00000067369.10	4.29703429
ENSG00000067533.5	2.477530549
ENSG00000067560.7	96.47759009
ENSG00000067596.7	4.55603213
ENSG00000067601.7	0.519067306
ENSG00000067606.12	0.031948651
ENSG00000067704.9	2.248085821
ENSG00000067798.10	0.172934343
ENSG00000067829.15	28.9358874
ENSG00000067836.9	14.14706972
ENSG00000067840.9	0.055340616
ENSG00000067842.14	0.033227482
ENSG00000067900.6	17.47900991
ENSG00000067955.10	10.63517774
ENSG00000067992.9	0.69426817
ENSG00000068001.10	0.586711402
ENSG00000068024.13	9.606866248
ENSG00000068028.14	3.031557251
ENSG00000068079.4	1.223016135
ENSG00000068097.11	2.587062326
ENSG00000068120.11	48.02435972
ENSG00000068137.11	0.050828786
ENSG00000068305.14	3.887857013
ENSG00000068308.10	13.85046639
ENSG00000068323.13	1.387722661
ENSG00000068354.12	0.834634985
ENSG00000068366.16	6.12144585
ENSG00000068383.15	5.129761878
ENSG00000068394.10	2.891323275
ENSG00000068400.10	16.77077629
ENSG00000068438.11	6.085121631
ENSG00000068489.9	15.39501293
ENSG00000068650.15	13.56027078
ENSG00000068654.12	6.285000007
ENSG00000068697.6	28.45067166
ENSG00000068724.12	7.47730539
ENSG00000068745.11	21.81196851
ENSG00000068784.9	4.226437852
ENSG00000068796.13	2.016579985
ENSG00000068831.15	18.8807296
ENSG00000068878.11	7.831429809
ENSG00000068885.11	7.613999437
ENSG00000068903.16	10.56425332
ENSG00000068912.10	2.275974122
ENSG00000068971.10	0.324144403
ENSG00000068976.10	2.625976784
ENSG00000069011.12	2.804970605
ENSG00000069188.13	3.113618287
ENSG00000069248.10	15.20881741
ENSG00000069275.12	61.22934075
ENSG00000069329.12	8.326875778
ENSG00000069345.8	6.56981281
ENSG00000069399.9	3.060976691
ENSG00000069424.11	39.58434204
ENSG00000069482.6	7.910805924
ENSG00000069493.11	3.564798479
ENSG00000069509.5	2.081063636
ENSG00000069702.7	0.158185972
